,province,municipality,latitude,longitude,detalles,calle,barrio,distrito
67,Madrid,Madrid,40.3985752,-3.6617848,"{'house_number': '6', 'road': 'Calle Manuel Nogueiro', 'quarter': 'Numancia', 'suburb': 'Puente de Vallecas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28038', 'country': 'España', 'country_code': 'es'}",Calle Manuel Nogueiro,Numancia,Puente de Vallecas
68,Madrid,Alcorcón,40.3475976,-3.8315957,"{'amenity': 'Centro Privado de Educación Infantil, Primaria y Secundaria Nuestra Señora de los Remedios', 'house_number': '17', 'road': 'Calle Guindales', 'neighbourhood': 'Parque Mayor', 'borough': 'Casco Antiguo', 'city': 'Alcorcón', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28921', 'country': 'España', 'country_code': 'es'}",Calle Guindales,Parque Mayor,Centro
69,Madrid,Alcalá de Henares,40.4844745,-3.3668928,"{'office': 'CCOO Comarca Henares', 'house_number': '19', 'road': 'Vía Complutense', 'neighbourhood': 'San Isidro', 'city_district': 'Distrito I', 'city': 'Alcalá de Henares', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28807', 'country': 'España', 'country_code': 'es'}",Vía Complutense,San Isidro,San Isidro - Los Almendros
70,Madrid,Pinto,40.2417396,-3.7034917,"{'road': 'Urbanización Parque de Éboli', 'suburb': 'La Tenería', 'town': 'Pinto', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28320', 'country': 'España', 'country_code': 'es'}",Urbanización Parque de Éboli,,La Tenería
71,Guadalajara,Pozo de Guadalajara,40.49625,-3.17967,"{'leisure': 'Piscina municipal', 'road': 'Calle del Plantío', 'village': 'Pozo de Guadalajara', 'province': 'Guadalajara', 'ISO3166-2-lvl6': 'ES-GU', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '19162', 'country': 'España', 'country_code': 'es'}",Calle del Plantío,,
72,Madrid,Valdemoro,40.1974035,-3.6854443,"{'suburb': 'Brezo', 'town': 'Valdemoro', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28342', 'country': 'España', 'country_code': 'es'}",Calle Antonio Van de Pere,,Brezo
73,Madrid,Collado Villalba,40.6252952,-4.0115687,"{'house_number': '1', 'road': 'Calle Abedul', 'neighbourhood': 'El Tomillar', 'quarter': 'La Estación Sur', 'suburb': 'La Estación', 'town': 'Collado Villalba', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28400', 'country': 'España', 'country_code': 'es'}",Calle Abedul,La Estación Sur,La Estación
74,Madrid,Alcorcón,40.3555456,-3.8133094,"{'road': 'Calle Vicedo', 'neighbourhood': 'San Jose de Valderas', 'borough': 'Norte', 'city': 'Alcorcón', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28924', 'country': 'España', 'country_code': 'es'}",Calle Vicedo,San Jose de Valderas,Valderas - Los Castillos
75,Madrid,Madrid,40.4723129,-3.5773045,"{'road': 'Calle del Duque', 'suburb': 'Barajas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28042', 'country': 'España', 'country_code': 'es'}",Calle del Duque,Casco Histórico de Barajas,Barajas
76,Madrid,Getafe,40.3137656,-3.729949,"{'amenity': 'Comisaría Policía Nacional de Getafe', 'road': 'Calle Churruca', 'suburb': 'Centro', 'city_district': 'Centro', 'city': 'Getafe', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28902', 'country': 'España', 'country_code': 'es'}",Calle Churruca,,Getafe Centro
77,Madrid,Madrid,40.3906065,-3.7445409,"{'road': 'Calle de San Marcelino', 'quarter': 'Aluche', 'suburb': 'Latina', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28047', 'country': 'España', 'country_code': 'es'}",Calle de San Marcelino,Aluche,Latina
78,Madrid,Madrid,40.4415556,-3.5836227,"{'road': ""Carretera de Vicálvaro a la Estación de O'Donnell"", 'quarter': 'Rosas', 'suburb': 'San Blas - Canillejas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28042', 'country': 'España', 'country_code': 'es'}",Carretera de Vicálvaro a la Estación de O'Donnell,Rosas,San Blas - Canillejas
79,Madrid,Madrid,40.3476494,-3.7113962,"{'amenity': 'Instituto de Educación Secundaria Celestino Mutis', 'house_number': '15', 'road': 'Calle de la Huerta de Villaverde', 'quarter': 'Villaverde Alto, Casco Histórico de Villaverde', 'suburb': 'Villaverde', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28021', 'country': 'España', 'country_code': 'es'}",Calle de la Huerta de Villaverde,"Villaverde Alto, Casco Histórico de Villaverde",Villaverde
80,Madrid,Alcalá de Henares,40.472241,-3.3746448,"{'road': 'Calle Infante Don Luis', 'residential': 'Consejo de Barrio 5. Distrito II', 'suburb': 'Reyes Católicos', 'city_district': 'Distrito II', 'city': 'Alcalá de Henares', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28803', 'country': 'España', 'country_code': 'es'}",Calle Infante Don Luis,Consejo de Barrio 5. Distrito II,Reyes Católicos
81,Madrid,Madrid,40.4493217,-3.5674796,"{'tourism': 'Hostal Zoraya', 'road': 'Calle de Fuentenovilla', 'quarter': 'Rejas', 'suburb': 'San Blas - Canillejas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28042', 'country': 'España', 'country_code': 'es'}",Calle de Fuentenovilla,Rejas,San Blas - Canillejas
82,Madrid,Madrid,40.4044052,-3.7001704,"{'place': 'Big Mama Swing Ballroom', 'house_number': '12', 'road': 'Calle de Sebastián Elcano', 'quarter': 'Palos de Moguer', 'suburb': 'Arganzuela', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28012', 'country': 'España', 'country_code': 'es'}",Calle de Sebastián Elcano,Palos de Moguer,Arganzuela
83,Madrid,Alcalá de Henares,40.4833118,-3.3528067,"{'road': 'Travesía Lope de Figueroa', 'suburb': 'Virgen del Val', 'city_district': 'Distrito V', 'city': 'Alcalá de Henares', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28804', 'country': 'España', 'country_code': 'es'}",Travesía Lope de Figueroa,,Virgen del Val
84,Madrid,Paracuellos de Jarama,40.5058099,-3.5291635,"{'road': 'Calle Real', 'suburb': 'Miramadrid', 'town': 'Paracuellos de Jarama', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28860', 'country': 'España', 'country_code': 'es'}",Calle Real,,Miramadrid
85,Madrid,Madrid,40.4414556,-3.5860227,"{'road': 'Calle de Deyanira', 'neighbourhood': 'Ciudad Pegaso', 'quarter': 'Rejas', 'suburb': 'San Blas - Canillejas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28022', 'country': 'España', 'country_code': 'es'}",Calle de Deyanira,Rejas,San Blas - Canillejas
86,Madrid,Madrid,40.4288893,-3.6392915,"{'road': 'Calle de Emilio Ferrari', 'quarter': 'Pueblo Nuevo', 'suburb': 'Ciudad Lineal', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28017', 'country': 'España', 'country_code': 'es'}",Calle de Emilio Ferrari,Pueblo Nuevo,Ciudad Lineal
87,Madrid,Madrid,40.3867131,-3.674711,"{'road': 'Calle de Timoteo Pérez Rubio', 'quarter': 'Entrevías', 'suburb': 'Puente de Vallecas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28053', 'country': 'España', 'country_code': 'es'}",Calle de Timoteo Pérez Rubio,Entrevías,Puente de Vallecas
88,Madrid,Alcalá de Henares,40.4815739,-3.3656669,"{'road': 'Calle Escuelas', 'neighbourhood': 'Venecia', 'city_district': 'Distrito I', 'city': 'Alcalá de Henares', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28801', 'country': 'España', 'country_code': 'es'}",Calle Escuelas,Venecia,Casco Histórico
89,Madrid,Madrid,40.4713512,-3.5779046,"{'road': 'Calle de Benítez', 'suburb': 'Barajas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28042', 'country': 'España', 'country_code': 'es'}",Calle de Benítez,Casco Histórico de Barajas,Barajas
90,Madrid,Madrid,40.3487403,-3.6840465,"{'man_made': 'Gran Vía de Villaverde', 'road': 'Avenida de Andalucía', 'quarter': 'Los Ángeles', 'suburb': 'Villaverde', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28021', 'country': 'España', 'country_code': 'es'}",Avenida de Andalucía,Los Ángeles,Villaverde
91,Madrid,Madrid,40.4393155,-3.6386662,"{'house_number': '3', 'road': 'Calle de Protasio Gómez', 'quarter': 'Quintana', 'suburb': 'Ciudad Lineal', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28027', 'country': 'España', 'country_code': 'es'}",Calle de Protasio Gómez,Quintana,Ciudad Lineal
92,Madrid,Madrid,40.3827984,-3.780637,"{'amenity': 'Centro Sociocultural Almirante Churruca', 'house_number': '72', 'road': 'Calle Fuente del Tiro', 'quarter': 'Las Águilas', 'suburb': 'Latina', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28044', 'country': 'España', 'country_code': 'es'}",Calle Fuente del Tiro,Las Águilas,Latina
93,Madrid,Villanueva del Pardillo,40.4848283,-3.9831274,"{'industrial': 'Parque Empresarial de Villanueva del Pardillo', 'town': 'Villanueva del Pardillo', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28229', 'country': 'España', 'country_code': 'es'}",Calle Mercurio,,Los Llanos - Valle Pardo
94,Madrid,Alcalá de Henares,40.497798,-3.3653418,"{'road': 'Calle Rafael Alberti', 'suburb': 'El Ensanche', 'city_district': 'Distrito IV', 'city': 'Alcalá de Henares', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28806', 'country': 'España', 'country_code': 'es'}",Calle Rafael Alberti,,El Ensanche
95,Madrid,El Molar,40.7313535,-3.5807508,"{'road': 'Calle San Roque', 'hamlet': 'La Cabaña', 'village': 'El Molar', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28710', 'country': 'España', 'country_code': 'es'}",Calle San Roque,,
96,Madrid,Leganés,40.3129024,-3.8074212,"{'road': 'M-50', 'city_district': 'Sur', 'city': 'Leganés', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28941', 'country': 'España', 'country_code': 'es'}",M-50,Valdepelayo-Montepinos-Arroyo Culebro,Valdepelayo - Montepinos - Arroyo Culebro
97,Madrid,Collado Villalba,40.6505412,-3.9960481,"{'house_number': '6', 'road': 'Calle La Huerta', 'quarter': 'Carretera de Alpedrete', 'suburb': 'Collado Villalba', 'town': 'Collado Villalba', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28400', 'country': 'España', 'country_code': 'es'}",Calle La Huerta,Carretera de Alpedrete,Collado Villalba
98,Guadalajara,Azuqueca de Henares,40.5708874,-3.2649786,"{'road': 'Calle Antonio Pérez', 'town': 'Azuqueca de Henares', 'province': 'Guadalajara', 'ISO3166-2-lvl6': 'ES-GU', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '19200', 'country': 'España', 'country_code': 'es'}",Calle Antonio Pérez,,El Vallejo
99,Madrid,Madrid,40.4093818,-3.6999866,"{'amenity': 'La Oveja Negra - Taberna Vegana', 'house_number': '42', 'road': 'Calle de Buenavista', 'neighbourhood': 'Lavapiés', 'quarter': 'Embajadores', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28012', 'country': 'España', 'country_code': 'es'}",Calle de Buenavista,Lavapiés-Embajadores,Centro
100,Madrid,Madrid,40.3842534,-3.6672159,"{'house_number': '16', 'road': 'Calle Imagen', 'quarter': 'San Diego', 'suburb': 'Puente de Vallecas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28018', 'country': 'España', 'country_code': 'es'}",Calle Imagen,San Diego,Puente de Vallecas
101,Madrid,Madrid,40.4073367,-3.703392,"{'house_number': '25', 'road': 'Calle de Tribulete', 'neighbourhood': 'Lavapiés', 'quarter': 'Embajadores', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28012', 'country': 'España', 'country_code': 'es'}","Calle de Tribulete, 25",Lavapiés-Embajadores,Centro
102,Madrid,Parla,40.2401418,-3.7611554,"{'road': 'Calle Claudio Coello', 'suburb': 'La Laguna', 'city': 'Parla', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28980', 'country': 'España', 'country_code': 'es'}",Calle Claudio Coello,,La Laguna
103,Madrid,Madrid,40.3883504,-3.7194063,"{'road': 'Calle Solana de Opañel', 'quarter': 'Opañel', 'suburb': 'Carabanchel', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28019', 'country': 'España', 'country_code': 'es'}",Calle Solana de Opañel,Opañel,Carabanchel
104,Madrid,Tres Cantos,40.6012733,-3.7082604,"{'road': 'Avenida del Parque', 'town': 'Tres Cantos', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28760', 'country': 'España', 'country_code': 'es'}",Avenida del Parque,,Zona Estación- Centro
105,Madrid,Madrid,40.4598487,-3.7007082,"{'house_number': '16', 'road': 'Calle de Tablada', 'quarter': 'Berruguete', 'suburb': 'Tetuán', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28039', 'country': 'España', 'country_code': 'es'}",Calle de Tablada,Berruguete,Tetuán
106,Toledo,Seseña,40.1328108,-3.669026,"{'road': 'Calle de Francisco de Goya', 'suburb': 'Urbanización el Quiñón', 'town': 'Seseña', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45223', 'country': 'España', 'country_code': 'es'}",Calle de Francisco de Goya,,Urbanización el Quiñón
107,Madrid,Alcorcón,40.3481835,-3.8278811,"{'shop': 'Bread & Co.', 'house_number': '7', 'road': 'Calle Mayor', 'neighbourhood': 'Santo Domingo', 'borough': 'Casco Antiguo', 'city': 'Alcorcón', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28921', 'country': 'España', 'country_code': 'es'}",Calle Mayor,Santo Domingo,Centro
108,Toledo,Yuncos,40.0890898,-3.8695423,"{'amenity': 'Guillermo Plaza', 'road': 'Calle Torrejón de la Calzada', 'hamlet': 'Polígono Industrial', 'town': 'Yuncos', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45210', 'country': 'España', 'country_code': 'es'}",Calle Torrejón de la Calzada,,
109,Madrid,Madrid,40.4215077,-3.7110908,"{'historic': 'Convento e Iglesia de las Reparadoras', 'road': 'Calle de Fomento', 'quarter': 'Palacio', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28013', 'country': 'España', 'country_code': 'es'}",Calle de Fomento,Palacio,Centro
110,Toledo,Esquivias,40.103017,-3.7639826,"{'road': 'Calle de Seseña', 'village': 'Esquivias', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45221', 'country': 'España', 'country_code': 'es'}",Calle de Seseña,,
111,Toledo,Yuncos,40.0865355,-3.8788252,"{'road': 'Calle Arenal', 'hamlet': 'Polígono Industrial', 'town': 'Yuncos', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45210', 'country': 'España', 'country_code': 'es'}",Calle Arenal,,
112,Madrid,Madrid,40.4783138,-3.6471826,"{'road': 'Calle de Santa Susana', 'quarter': 'Pinar del Rey', 'suburb': 'Hortaleza', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28033', 'country': 'España', 'country_code': 'es'}",Calle de Santa Susana,Pinar del Rey,Hortaleza
113,Madrid,Quijorna,40.4261887,-4.0538894,"{'road': 'Calle Real', 'village': 'Quijorna', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28693', 'country': 'España', 'country_code': 'es'}",Calle Real,,
114,Madrid,Madrid,40.4119172,-3.7148053,"{'house_number': '7', 'road': 'Plaza Gabriel Miró', 'neighbourhood': 'Barrio de la Latina', 'quarter': 'Palacio', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28005', 'country': 'España', 'country_code': 'es'}",Plaza Gabriel Miró,Palacio,Centro
115,Guadalajara,Guadalajara,40.6358154,-3.1724952,"{'road': 'Calle del Dos de Mayo', 'suburb': 'Cacharrerías', 'city': 'Guadalajara', 'province': 'Guadalajara', 'ISO3166-2-lvl6': 'ES-GU', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '19003', 'country': 'España', 'country_code': 'es'}",Calle del Dos de Mayo,,Cacharrerías
116,Madrid,Valdemorillo,40.5000981,-4.0675866,"{'road': 'Calle Nueva', 'town': 'Valdemorillo', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'country': 'España', 'country_code': 'es'}",Calle Nueva,,Valdemorillo pueblo
117,Toledo,Illescas,40.1572265,-3.8457831,"{'road': 'Calle de Italia', 'town': 'Illescas', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '28977', 'country': 'España', 'country_code': 'es'}",Calle de Italia,,Señorío de Illescas
118,Toledo,Seseña,40.1342218,-3.6706083,"{'road': 'Calle Rembrandt', 'suburb': 'Urbanización el Quiñón', 'town': 'Seseña', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45223', 'country': 'España', 'country_code': 'es'}",Calle Rembrandt,,Urbanización el Quiñón
119,Madrid,Aranjuez,40.03075,-3.59339,"{'house_number': '14', 'road': 'Calle de San Pedro', 'quarter': 'Nuevo Aranjuez', 'town': 'Aranjuez', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28300', 'country': 'España', 'country_code': 'es'}",Calle de San Pedro,Nuevo Aranjuez,Nuevo Aranjuez-Ciudad de las Artes
120,Toledo,Yuncler,40.0436526,-3.898436,"{'road': 'Avenida Isabel la Católica', 'village': 'Yuncler', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45529', 'country': 'España', 'country_code': 'es'}",Avenida Isabel la Católica,,
121,Madrid,Miraflores de la Sierra,40.8128999,-3.7780237,"{'road': 'Calle de la Fuente del Cura', 'village': 'Miraflores de la Sierra', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28792', 'country': 'España', 'country_code': 'es'}",Calle de la Fuente del Cura,,
122,Madrid,Pedrezuela,40.7471453,-3.601093,"{'road': 'Calle Nevera', 'village': 'Pedrezuela', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28723', 'country': 'España', 'country_code': 'es'}",Calle Nevera,,
123,Madrid,Madrid,40.4095182,-3.7086213,"{'house_number': '11', 'road': 'Plaza General Vara del Rey', 'neighbourhood': 'Lavapiés', 'quarter': 'Embajadores', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28005', 'country': 'España', 'country_code': 'es'}",Plaza General Vara del Rey,Lavapiés-Embajadores,Centro
124,Madrid,San Sebastián de los Reyes,40.5402351,-3.620037,"{'house_number': '11', 'road': 'Avenida del Juncal', 'town': 'San Sebastián de los Reyes', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28703', 'country': 'España', 'country_code': 'es'}","Avenida del Juncal, 11",,Vega de la Moraleja
125,Madrid,Valdemoro,40.2003307,-3.6919489,"{'road': 'Calle de Agustina de Aragón', 'suburb': 'Brezo', 'town': 'Valdemoro', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28342', 'country': 'España', 'country_code': 'es'}",Calle de Agustina de Aragón,,Brezo
126,Madrid,Valdemoro,40.2003307,-3.6919489,"{'road': 'Calle de Agustina de Aragón', 'suburb': 'Brezo', 'town': 'Valdemoro', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28342', 'country': 'España', 'country_code': 'es'}",Calle de Agustina de Aragón,,Brezo
127,Madrid,Madrid,40.3591678,-3.5948413,"{'road': 'Calle del Embalse de Navacerrada', 'quarter': 'Ensanche de Vallecas', 'suburb': 'Villa de Vallecas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28051', 'country': 'España', 'country_code': 'es'}",Calle del Embalse de Navacerrada,Ensanche de Vallecas - La Gavia,Villa de Vallecas
128,Madrid,Aranjuez,40.0308188,-3.597916,"{'road': 'Travesía de Noblejas', 'quarter': 'Guardiola', 'town': 'Aranjuez', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28300', 'country': 'España', 'country_code': 'es'}","Travesía de Noblejas, 2",Guardiola,Nuevo Aranjuez-Ciudad de las Artes
129,Madrid,Madrid,40.4108822,-3.7133169,"{'house_number': '14', 'road': 'Carrera de San Francisco', 'neighbourhood': 'Barrio de la Latina', 'quarter': 'Palacio', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28005', 'country': 'España', 'country_code': 'es'}",Carrera de San Francisco,Palacio,Centro
130,Madrid,Madrid,40.5137383,-3.6730214,"{'house_number': '5', 'road': 'Calle de María Tubau', 'quarter': 'Valverde', 'city_district': 'Fuencarral-El Pardo', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28050', 'country': 'España', 'country_code': 'es'}","Calle de María Tubau, 6",Valverde,Fuencarral
131,Madrid,Daganzo de Arriba,40.5454979,-3.4582275,"{'road': 'Calle Huesario', 'town': 'Daganzo de Arriba', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28814', 'country': 'España', 'country_code': 'es'}",Calle Huesario,,
132,Madrid,Madrid,40.3422105,-3.7061586,"{'road': 'Calle de las Lenguas', 'quarter': 'Villaverde Alto, Casco Histórico de Villaverde', 'suburb': 'Villaverde', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28021', 'country': 'España', 'country_code': 'es'}",Calle de las Lenguas,"Villaverde Alto, Casco Histórico de Villaverde",Villaverde
133,Madrid,Madrid,40.4150546,-3.703188,"{'house_number': '27', 'road': 'Calle de Carretas', 'neighbourhood': 'Barrio de los Austrias', 'quarter': 'Sol', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28012', 'country': 'España', 'country_code': 'es'}",Calle de Carretas,Sol,Centro
134,Madrid,Madrid,40.3631821,-3.5874258,"{'road': 'Calle Arte Pop', 'quarter': 'Ensanche de Vallecas', 'suburb': 'Villa de Vallecas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28051', 'country': 'España', 'country_code': 'es'}","Calle Arte Pop, 8",Ensanche de Vallecas - La Gavia,Villa de Vallecas
135,Toledo,Yeles,40.1214643,-3.8048639,"{'amenity': 'Bar Escalón', 'house_number': '5', 'road': 'Avenida Rufino Rubio', 'hamlet': 'Camino de Yuncos', 'village': 'Yeles', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45220', 'country': 'España', 'country_code': 'es'}",Avenida Rufino Rubio,,
136,Madrid,Guadarrama,40.6814972,-4.0779084,"{'road': 'Cordel de la Serranilla', 'neighbourhood': 'Urbanización Villas de Guadarrama', 'suburb': 'Urbanización Vallefresnos', 'town': 'Guadarrama', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28440', 'country': 'España', 'country_code': 'es'}",Cordel de la Serranilla,Urbanización Villas de Guadarrama,Urbanización Vallefresnos
137,Toledo,Ocaña,39.9613738,-3.4926595,"{'road': 'Calle Cardenal Reig', 'town': 'Ocaña', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45300', 'country': 'España', 'country_code': 'es'}","Calle Cardenal Reig, 1",,
138,Madrid,Cobeña,40.5684393,-3.5027753,"{'house_number': '2', 'road': 'Calle Eras del Rey', 'town': 'Cobeña', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28863', 'country': 'España', 'country_code': 'es'}",Calle Eras del Rey,,
139,Madrid,Madrid,40.4623825,-3.7067882,"{'house_number': '124', 'road': 'Paseo de la Dirección', 'quarter': 'Berruguete', 'suburb': 'Tetuán', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28039', 'country': 'España', 'country_code': 'es'}",Paseo de la Dirección,Berruguete,Tetuán
140,Madrid,Madrid,40.408986,-3.7381489,"{'amenity': 'Centro Privado de Formación Profesional Específica José Ramón Otero', 'house_number': '1', 'road': 'Calle de Francisco Brizuela', 'quarter': 'Puerta del Ángel', 'suburb': 'Latina', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28011', 'country': 'España', 'country_code': 'es'}",Calle de Francisco Brizuela,Puerta del Ángel,Latina
